2|161.664098
3|162.077583
4|162.984186
5|163.547425
6|164.280846
7|165.733796
8|165.296995
9|165.842392
10|166.327799
11|166.593599
12|167.468205
13|167.516203
14|168.189405
15|168.622809
16|169.233612
17|169.405410
18|170.187412
19|170.657016
20|171.218018
21|171.453217
22|172.045819
23|172.405620
24|172.952819
25|173.297623
26|173.937224
27|174.234228
28|174.702027
29|174.984030
30|175.937433
31|176.483835
32|176.640435
33|176.719637
34|177.577639
35|177.670640
36|178.453245
37|178.796445
38|179.233445
39|179.375845
40|180.092847
41|180.140044
42|181.141252
