40000|8.680496
70000|10.475600
100000|12.441711
130000|14.018802
160000|16.097921
190000|17.956027
220000|19.681126
250000|21.794247
280000|23.445341
310000|25.311448
340000|27.403567
370000|29.471686
400000|30.906768
430000|33.056891
460000|35.185013
490000|36.898110
520000|38.715214
550000|40.795333
580000|42.834450
610000|44.054519
640000|46.063635
670000|48.271761
700000|49.839850
730000|52.214987
760000|53.799077
790000|55.253160
820000|57.412284
850000|59.630410
880000|61.113496
910000|62.648583
940000|65.318736
970000|66.225788
1000000|68.956944
